zip,latitude,longitude
99773,66.888100,-157.136400
99786,67.086100,-157.851400
99830,56.973600,-133.936000
99833,56.827100,-133.160700
99836,56.249700,-134.644400
99903,55.740800,-132.256400
99918,55.952400,-132.750300
99919,55.660900,-132.513800
99921,55.473200,-133.117100
99922,55.208700,-132.825900
99923,55.916900,-130.024700
99925,55.552600,-133.055500
99926,55.121500,-131.579000
99927,56.352800,-133.621100
99835,57.051400,-135.316600
99840,59.468500,-135.301800
99689,59.812000,-139.550500
99731,63.952000,-146.451000
99732,64.073300,-141.936100
99737,64.037800,-145.732200
99738,64.788100,-141.200000
99764,62.961700,-141.937200
99776,63.385300,-143.346400
99780,63.336700,-142.985600
99929,56.433500,-132.352900
99558,62.656100,-160.206700
99590,62.903600,-160.064700
99602,62.192600,-159.825100
99627,62.945700,-155.571200
99665,62.682200,-159.561900
99675,62.988600,-156.064200
99691,63.013300,-154.375000
99720,66.565600,-152.645600
99722,68.126900,-145.537800
99724,66.359400,-147.396400
99726,65.226400,-151.025100
99730,65.468100,-144.748900
99733,65.824500,-144.082600
99740,66.564700,-145.273900
99741,64.733300,-156.927500
99745,66.038200,-154.264400
99746,65.689900,-156.292000
99748,64.330500,-158.724300
99754,64.880300,-157.700800
99756,65.001100,-150.633900
99757,63.882800,-152.312200
99758,65.058400,-149.691200
99760,64.557700,-149.086700
99765,64.719400,-158.103100
99767,65.509000,-150.161900
99768,64.720100,-155.503900
99774,66.006400,-149.090800
99777,65.171900,-152.078900
99781,67.010400,-146.413700
99788,66.654400,-143.722200
36003,32.462500,-86.714900
36006,32.659600,-86.717800
36008,32.501600,-86.572700
36051,32.684100,-86.494600
36066,32.478700,-86.430000
36067,32.471500,-86.483100
36068,32.464000,-86.459700
36749,32.510400,-86.813800
36507,30.863500,-87.764400
36511,30.312800,-87.743100
36526,30.619700,-87.889500
36527,30.695900,-87.886700
36530,30.394200,-87.589000
36532,30.501200,-87.883500
36533,30.484100,-87.860600
36535,30.400700,-87.685700
36536,30.422200,-87.706400
36542,30.271700,-87.758900
36547,30.246000,-87.700800
36549,30.397200,-87.474500
36550,31.224600,-87.754800
36551,30.618000,-87.756200
36555,30.399600,-87.776100
36559,30.562300,-87.900500
36561,30.281000,-87.581500
36562,31.040300,-87.666700
36564,30.474100,-87.919200
36567,30.561600,-87.637300
36574,30.504800,-87.465900
36576,30.522200,-87.745700
36577,30.674900,-87.915300
36578,30.747600,-87.778700
36579,31.012900,-87.863300
36580,30.475200,-87.699200
36016,31.887400,-85.450900
36017,31.685200,-85.590400
36027,31.905100,-85.165600
36048,31.794300,-85.558100
36072,31.891300,-85.145500
35034,32.935700,-87.211400
35035,33.042700,-86.951700
35042,32.950300,-87.119200
35074,33.225100,-87.126400
35184,33.142400,-87.136900
35188,33.206800,-87.150000
36792,32.888800,-86.907000
36793,32.864600,-86.956700
35013,33.922200,-86.449300
35031,34.092900,-86.568600
35049,33.977800,-86.559800
35079,33.953400,-86.745500
35097,33.905000,-86.626100
35121,33.925900,-86.474100
35133,33.816800,-86.600800
36029,32.216500,-85.888800
36053,32.095500,-85.531500
36061,32.092800,-85.704600
36089,32.144300,-85.714900
36015,31.642700,-86.734300
36030,31.850100,-86.837200
36033,31.628700,-86.734000
36037,31.810000,-86.622900
36456,31.545000,-86.735600
36201,33.653900,-85.838200
36202,33.762200,-85.837800
36203,33.581500,-85.832800
36204,33.762200,-85.837800
36205,33.735800,-85.793300
36206,33.719100,-85.838900
36207,33.680300,-85.713700
36250,33.780800,-85.892400
36253,33.762200,-85.837800
36254,33.657300,-85.699100
36257,33.762200,-85.837800
36260,33.603100,-85.960800
36265,33.831000,-85.775200
36271,33.778800,-86.025400
36272,33.838900,-85.646000
36277,33.756300,-85.810700
36279,33.822600,-85.892700
36852,32.783100,-85.275600
36854,32.811300,-85.174900
36855,33.042400,-85.324300
36862,32.925200,-85.442600
36863,32.861600,-85.216100
35959,34.241700,-85.602600
35960,34.111600,-85.609200
35973,34.357300,-85.558900
35983,34.191100,-85.770500
36275,33.977800,-85.552100
35045,32.835500,-86.642500
35046,32.922900,-86.545000
35085,32.980500,-86.718100
35171,32.915700,-86.715800
36091,32.749900,-86.511400
36750,32.804500,-86.871700
36790,32.733200,-86.896300
36904,32.082900,-88.206400
36908,31.866600,-88.326500
36910,32.229900,-88.168400
36912,32.217700,-88.323400
36913,31.930400,-88.458900
36915,31.987900,-88.336700
36916,32.209400,-88.049000
36919,31.766800,-88.309100
36921,31.915500,-88.151000
36922,32.303800,-88.147600
36436,31.763500,-87.710600
36446,31.792500,-87.720000
36451,31.708800,-87.777200
36482,31.639500,-87.656500
36524,31.784300,-88.071500
36540,31.425800,-87.682200
36545,31.513100,-87.867200
36727,31.921300,-88.008000
36784,31.906700,-87.759800
35082,33.116200,-86.138600
36251,33.247400,-85.829000
36255,33.217100,-85.710800
36258,33.457300,-85.679300
36266,33.328600,-85.734600
36267,33.191500,-85.925800
36261,33.706600,-85.509900
36262,33.771700,-85.438100
36264,33.611500,-85.588500
36269,33.752900,-85.378900
36273,33.561600,-85.378600
36323,31.413700,-86.077700
36330,31.340800,-85.842100
36331,31.297800,-85.903600
36346,31.565200,-85.971000
36351,31.369000,-85.940400
36453,31.192600,-86.151400
35616,34.744200,-87.972400
35646,34.711000,-87.522100
35660,34.757800,-87.697100
35661,34.756100,-87.630400
35662,34.744800,-87.667500
35674,34.687400,-87.683300
36401,31.458000,-86.925800
36429,31.262700,-86.771100
36432,31.299100,-87.022500
36454,31.336600,-87.185500
36473,31.305800,-87.213700
36475,31.425600,-87.172000
35072,33.074600,-86.078100
35089,32.979100,-86.048400
35136,32.878000,-86.240000
35183,33.023800,-86.304200
36026,32.813900,-86.105100
36038,31.406800,-86.484100
36420,31.297100,-86.490500
36442,31.017200,-86.338500
36455,31.010500,-86.349700
36467,31.279900,-86.257100
36474,31.439900,-86.612100
36476,31.353300,-86.541000
36483,31.022300,-86.629300
36009,31.571000,-86.274300
36028,31.506600,-86.366300
36034,31.664100,-86.171000
36041,31.928300,-86.297100
36042,31.878400,-86.398100
36049,31.707400,-86.256600
36062,31.848800,-86.207700
36071,31.706200,-86.371500
35019,34.268300,-86.621300
35033,33.973700,-87.004300
35053,34.082100,-87.048400
35055,34.176100,-86.829800
35056,34.174800,-86.843600
35057,34.087800,-86.944700
35058,34.209800,-86.752000
35070,34.005800,-86.749900
35077,34.051600,-86.784800
35083,34.190100,-86.617400
35087,34.283700,-86.551900
35098,34.137700,-87.026600
35179,34.262100,-86.912500
36311,31.583000,-85.707700
36317,31.644600,-85.391100
36322,31.281100,-85.730500
36350,31.319100,-85.493800
36352,31.331100,-85.599200
36360,31.439100,-85.643600
36361,31.459100,-85.640500
36362,31.348000,-85.721400
36371,31.307400,-85.526300
36374,31.574800,-85.537000
36701,32.419700,-87.024500
36702,32.407400,-87.021100
36703,32.415600,-87.013500
36758,32.617600,-86.947500
36759,32.426600,-87.270200
36761,32.189900,-87.063300
36767,32.294900,-87.221400
36773,32.300200,-87.369300
36775,32.284400,-86.992000
36785,32.323900,-86.864600
35961,34.268000,-85.862000
35962,34.258800,-86.030600
35963,34.356800,-85.929200
35967,34.436800,-85.712400
35968,34.489800,-85.765700
35971,34.437300,-85.928800
35974,34.359200,-86.024000
35975,34.435900,-86.040000
35978,34.618600,-85.727400
35981,34.735100,-85.641600
35984,34.587200,-85.577700
35986,34.498900,-85.844600
35988,34.559000,-85.792100
35989,34.569700,-85.627200
36020,32.505600,-86.332200
36022,32.608200,-86.395800
36024,32.654200,-86.031600
36025,32.545400,-86.316100
36045,32.619000,-85.948600
36054,32.499500,-86.364100
36078,32.551000,-85.897800
36080,32.690000,-86.239300
36092,32.592700,-86.215300
36093,32.562200,-86.099400
36426,31.129400,-87.096100
36427,31.105200,-87.072200
36441,31.040200,-87.266400
36502,31.057200,-87.487300
36503,31.023800,-87.493900
36504,31.015800,-87.497200
36543,31.220200,-87.461900
35901,34.048000,-85.924600
35902,34.014300,-86.006600
35903,33.984500,-85.907700
35904,34.021700,-86.049500
