zip,latitude,longitude
62338,39.992500,-91.245200
62339,40.120300,-91.029600
62346,40.157200,-90.984400
62347,39.889200,-91.086900
62348,40.177500,-91.378500
62349,40.153200,-91.213000
62351,40.085700,-91.289900
62359,40.036600,-91.205300
62360,39.815300,-91.262700
62365,39.800400,-91.143600
62376,40.080900,-91.373300
62914,37.012300,-89.181100
62957,37.302000,-89.453100
62962,37.103400,-89.349400
62969,37.167400,-89.353700
62988,37.234500,-89.276300
62990,37.221000,-89.459900
62993,37.152800,-89.325600
62019,39.034400,-89.490900
62086,38.969300,-89.565300
62246,38.893300,-89.405200
62262,38.931100,-89.246300
62273,38.780000,-89.598100
62275,38.784600,-89.524700
62284,38.873900,-89.326600
61008,42.259500,-88.850900
61011,42.383500,-88.918500
61012,42.408700,-88.746500
61038,42.251000,-88.743700
61065,42.359400,-88.842800
62353,39.980300,-90.741400
62375,40.011700,-90.866100
62378,39.888300,-90.674100
61312,41.443700,-89.221900
61314,41.314000,-89.679500
61315,41.289400,-89.368600
61317,41.426400,-89.212600
61320,41.354700,-89.170500
61322,41.309200,-89.325200
61323,41.436200,-89.396000
61328,41.505000,-89.463400
61329,41.382500,-89.219000
61330,41.537600,-89.297000
61337,41.424500,-89.369300
61338,41.455500,-89.669700
61344,41.403600,-89.820100
61345,41.290500,-89.794400
61346,41.512200,-89.719900
61349,41.537100,-89.457400
61356,41.362900,-89.427000
61359,41.361300,-89.269100
61361,41.394900,-89.711500
61362,41.327900,-89.204200
61368,41.289100,-89.508000
61374,41.550000,-89.353400
61376,41.539400,-89.609200
61379,41.378500,-89.574400
62006,39.072500,-90.659100
62013,38.949500,-90.588700
62036,38.896100,-90.560200
62045,39.223500,-90.699500
62047,39.154700,-90.624000
62053,39.306400,-90.626900
62065,39.235300,-90.623500
62070,39.292500,-90.749300
61014,41.996200,-89.896300
61046,42.093500,-89.824700
61051,41.967400,-89.780100
61053,42.105300,-89.984500
61074,42.095600,-90.140100
61078,42.161000,-89.748100
61285,41.981600,-90.084400
62611,39.897900,-90.363600
62612,39.938600,-90.079200
62618,40.004400,-90.422900
62622,39.979600,-90.352400
62627,40.037400,-90.116300
62691,39.951200,-90.212300
60949,40.374700,-88.138000
61801,40.109500,-88.203600
61802,40.074600,-88.169100
61803,40.105900,-88.224700
61815,40.113400,-88.369500
61816,39.914200,-87.994800
61820,40.111000,-88.240700
61821,40.107300,-88.278800
61822,40.131700,-88.285400
61824,40.116400,-88.243400
61825,40.116400,-88.243400
61826,40.113100,-88.361300
61840,40.313100,-88.277000
61843,40.299100,-88.356000
61845,40.355400,-88.420200
61847,40.302800,-88.031700
61849,40.034600,-87.962700
61851,39.950200,-88.445100
61852,39.901200,-88.075300
61853,40.196400,-88.392800
61859,40.140100,-87.966500
61862,40.310100,-87.957000
61863,39.915100,-88.274300
61864,40.005200,-88.159500
61866,40.310700,-88.146200
61871,40.192400,-87.974200
61872,39.961300,-88.344700
61873,40.120700,-88.047200
61874,40.065400,-88.252800
61875,40.107000,-88.426700
61877,40.023200,-88.069000
61878,40.240200,-88.183000
61880,39.985000,-88.259600
62083,39.374300,-89.198300
62510,39.509500,-89.039800
62517,39.591700,-89.424000
62531,39.661200,-89.377900
62540,39.583800,-89.418500
62546,39.415300,-89.454100
62547,39.769000,-89.248900
62555,39.477500,-89.195100
62556,39.469900,-89.373300
62557,39.397100,-89.104800
62567,39.640500,-89.191300
62568,39.548900,-89.294500
62570,39.588000,-89.449500
62420,39.301700,-87.991300
62423,39.449000,-87.586700
62441,39.422000,-87.692300
62442,39.317400,-87.870700
62474,39.456400,-87.996100
62477,39.240200,-87.651200
62434,38.828400,-88.320400
62824,38.669500,-88.351600
62839,38.670300,-88.491900
62858,38.771800,-88.506500
62879,38.763900,-88.363100
62899,38.635900,-88.634800
62215,38.532000,-89.620200
62216,38.608900,-89.603400
62218,38.538500,-89.457800
62219,38.605800,-89.431900
62230,38.618800,-89.528400
62231,38.606600,-89.380500
62245,38.548700,-89.541300
62250,38.540800,-89.266100
62252,38.601800,-89.291500
62253,38.776900,-89.297500
62265,38.531500,-89.692200
62266,38.485700,-89.681600
62293,38.619100,-89.644700
61912,39.525400,-88.034100
61920,39.486900,-88.176100
61931,39.601200,-88.314100
61938,39.480200,-88.376200
61943,39.651600,-88.025300
62440,39.395800,-88.253000
62469,39.393800,-88.348800
60004,42.112000,-87.979200
60005,42.063900,-87.985600
60006,42.088400,-87.980600
60007,42.007600,-87.993100
